,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
4618,107719.217,183325.902,26.435,41924.01,28.42902737,17.95231427,45.57799098,31.72148095,48.59819047,42.49628827,0.890090025,0.784292239,0.885767477,-0.001098743,1.230114569,-2.931235167
20871,107755.38,183330.719,26.8645152,43759.86,15.76768605,7.945057254,35.64984847,16.95548968,46.22896543,30.6770478,0.884477181,0.803751076,0.866557323,0.071396627,1.21546725,-2.662455467
24358,107797.573,183278.754,28.55,44168.71,46.01474319,21.78870963,84.40486785,46.63282962,97.77544716,77.83449015,0.895369211,0.777127404,0.904856857,-0.029057678,1.519626859,-3.115261765
20939,107764.021,183318.064,27.35,43766.64,11.86784239,6.545204223,28.95024488,12.85561178,40.1295172,21.77794497,0.894477935,0.813752262,0.876557321,0.101416132,1.195477723,-2.722402474
1894,107723.962,183309.768,26.6681863,41630.87,36.14591498,23.96557563,55.30708566,42.2303065,51.04570816,53.21626205,0.890616036,0.789207412,0.871517037,0.035586538,1.212405526,-2.567148911
14711,107742.186,183329.741,26.75,43059.34,28.09018432,14.72128506,52.22204212,31.11200676,55.621899,48.60179961,0.883286372,0.805642812,0.882159701,0.06449751,1.227681684,-2.649222955
26647,107805.967,183274.627,28.75,44411.28,36.53223697,14.44219217,73.81762672,32.01878891,93.9091851,61.62315457,0.905404171,0.774428407,0.929261826,-0.067251727,1.552084972,-2.688741196
16961,107758.627,183312.632,27.35,43331.3,14.50325857,7.620208005,32.25111131,15.81573824,43.47209853,28.44910864,0.894985771,0.810380804,0.877633352,0.076307867,1.260105109,-2.72685474
23725,107775.955,183310.304,27.45,44075.97,29.38485984,12.56147259,58.63160925,29.52256019,69.84124236,52.88761398,0.885948754,0.79880469,0.865827913,0.043446889,1.28825543,-2.828723277
5642,107726.276,183318.74,26.577,42081.79,37.32275994,22.84734336,60.41017533,43.22640031,55.04520192,57.31773057,0.891761981,0.7964035,0.865773271,0.032823494,1.238452734,-2.858555379
24931,107766.277,183327.202,27.221825,44226.06,14.72590955,6.728799159,33.5301666,14.21272239,45.22368901,27.09714729,0.894733638,0.797028523,0.864153752,0.05908006,1.265469586,-2.626583069
21050,107776.704,183299.184,27.85,43777.69,30.71323681,13.3379866,61.31229658,30.4331007,76.52154269,55.7747535,0.894625223,0.814475747,0.876574319,0.094888013,1.357052708,-2.472012598
9853,107751.262,183298.058,27.45,42506.06,32.40921229,17.25235072,57.39409953,35.78832173,60.99584002,54.64215434,0.890050021,0.812361849,0.866102745,0.057498511,1.244813204,-2.723266762
10587,107732.92,183327.634,26.3,42595.24,26.18431098,13.94692523,50.26910921,29.63044262,57.51000088,47.52274436,0.890430467,0.800665118,0.866656152,0.034488752,1.227216254,-2.659360077
18434,107776.346,183291.133,28.2481824,43516.06,36.29349058,17.38688607,67.8091877,35.69099871,81.80666554,59.03777575,0.893392316,0.808665316,0.882235973,0.027964695,1.391276896,-2.988614291
